anonymous_company_id,ticker,company_name,entity_type,gics_sector,industry_group,company_domain,disclosure_page_url,disclosure_page_type,,,,,,,,,,,,,,,,,,,,,
C1,CBA,Commonwealth Bank of Australia,asx,Financials,Banks,commbank.com.au,https://www.commbank.com.au/support/privacy.html?ei=CB-footer_privacy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C1,CBA,Commonwealth Bank of Australia,asx,Financials,Banks,commbank.com.au,https://www.commbank.com.au/about-us/opportunity-initiatives/policies-and-practices/artificial-intelligence.html,ai_policy,,,,,,,,,,,,,,,,,,,,,
C2,NAB,National Australia Bank Ltd,asx,Financials,Banks,nab.com.au,https://www.nab.com.au/common/privacy-policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C2,NAB,National Australia Bank Ltd,asx,Financials,Banks,nab.com.au,https://www.nab.com.au/about-us/corporate-governance/data-ethics,ai_policy,,,,,,,,,,,,,,,,,,,,,
C3,WBC,Westpac Banking Corporation,asx,Financials,Banks,westpac.com.au,https://www.westpac.com.au/about-westpac/westpac-group/corporate-governance/artificial-intelligence-at-westpac/,ai_policy,,,,,,,,,,,,,,,,,,,,,
C4,ANZ,ANZ Group Holdings Ltd,asx,Financials,Banks,anz.com.au,https://www.anz.com.au/content/dam/anzcomau/documents/pdf/privacy-policy.pdf,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C5,MQG,Macquarie Group Ltd,asx,Financials,Financial Services,macquarie.com,https://www.macquarie.com/au/en/disclosures/privacy-and-cookies.html,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C5,MQG,Macquarie Group Ltd,asx,Financials,Financial Services,macquarie.com,https://www.macquarie.com.au/important-information.html#tab-panels-0-artificial-intelligence--ai--statement,ai_policy,,,,,,,,,,,,,,,,,,,,,
C6,CSL,CSL Ltd,asx,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",csl.com,https://privacy.csl.com/,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C7,WDS,Woodside Energy Group Ltd,asx,Energy,Energy,woodside.com,https://www.woodside.com/what-we-do/innovation/artificial-intelligence,ai_policy,,,,,,,,,,,,,,,,,,,,,
C8,TLS,Telstra Group Ltd,asx,Communication Services,Telecommunication Services,telstra.com.au,https://www.telstra.com.au/privacy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C8,TLS,Telstra Group Ltd,asx,Communication Services,Telecommunication Services,telstra.com.au,https://www.telstra.com.au/consumer-advice/your-information/machine-learning-and-ai,ai_policy,,,,,,,,,,,,,,,,,,,,,
C9,WOW,Woolworths Group Ltd,asx,Consumer Staples,Consumer Staples Distribution & Retail,woolworths.com.au,https://www.woolworthsgroup.com.au/content/dam/wwg/privacy/2026/Woolworths-Group-Privacy-Policy-Effective-12-Feb-2026.pdf,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C10,TCL,Transurban Group,asx,Industrials,Transportation,transurban.com,https://www.transurban.com/privacy.html,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C11,RMD,Resmed Inc,asx,Health Care,Health Care Equipment & Services,resmed.com,https://www.resmed.com/en-us/privacy/,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C11,RMD,Resmed Inc,asx,Health Care,Health Care Equipment & Services,resmed.com,https://www.resmed.com/en-us/about-us/ethics-and-compliance/,ai_policy,,,,,,,,,,,,,,,,,,,,,
C12,QBE,QBE Insurance Group Ltd,asx,Financials,Insurance,qbe.com,https://www.qbe.com/approach-to-ai,ai_policy,,,,,,,,,,,,,,,,,,,,,
C13,COL,Coles Group Ltd,asx,Consumer Staples,Consumer Staples Distribution & Retail,colesgroup.com.au,https://colesgroup.com.au/public/?page=privacy-policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C14,AMC,Amcor Plc,asx,Materials,Materials,amcor.com,https://www.amcor.com/privacy_policy/privacy_policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C15,BXB,Brambles Ltd,asx,Industrials,Commercial & Professional Services,brambles.com,https://www.brambles.com/privacy-notice,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C16,JHX,James Hardie Industries Plc,asx,Materials,Materials,jameshardie.com,https://www.jameshardie.com/privacy-policy/,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C17,CPU,Computershare Ltd,asx,Industrials,Commercial & Professional Services,computershare.com,https://www.computershare.com/ca/en/insights/transfer-agent-services/computershare-approach-ai,ai_policy,,,,,,,,,,,,,,,,,,,,,
C18,IAG,Insurance Australia Group Ltd,asx,Financials,Insurance,iag.com.au,https://iag.com.au/master-privacy-policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C19,WTC,Wisetech Global Ltd,asx,Information Technology,Software & Services,wisetechglobal.com,https://www.wisetechglobal.com/legal/#privacypolicy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C20,XRO,Xero Ltd,asx,Information Technology,Software & Services,xero.com,https://www.xero.com/au/legal/privacy/,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C21,IFT,Infratil Ltd,asx,Industrials,Capital Goods,infratil.com,https://infratil.com/about-infratil/governance/governance-documents/company-policies/information-security-responsible-ai-policy-2026/,ai_policy,,,,,,,,,,,,,,,,,,,,,
C22,ALQ,Als Ltd,asx,Industrials,Commercial & Professional Services,alsglobal.com,https://www.alsglobal.com/privacy-policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C23,SHL,Sonic Healthcare Ltd,asx,Health Care,Health Care Equipment & Services,sonichealthcare.com,https://www.sonichealthcare.com/media/cg1f4i1l/shl_privacypolicy.pdf,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C24,TNE,Technology One Ltd,asx,Information Technology,Software & Services,technology1.com,https://www.technology1.com/__data/assets/pdf_file/0011/295229/TechnologyOne_AI-Policy.pdf,ai_policy,,,,,,,,,,,,,,,,,,,,,
C25,SGP,Stockland,asx,Real Estate,Equity Real Estate Investment Trusts (REITs),stockland.com.au,https://www.stockland.com.au/privacy-policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C26,NXG,Nexgen Energy (Canada) Ltd,asx,Energy,Energy,nexgenenergy.ca,https://careers.nexgenenergy.ca/en/privacy-policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C27,JBH,JB Hi-Fi Ltd,asx,Consumer Discretionary,Consumer Discretionary Distribution & Retail,jbhifi.com.au,https://www.jbhifi.com.au/pages/help-and-support/privacy-policy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C28,GGP,Greatland Resources Ltd,asx,Materials,Materials,greatland.com.au,https://www.greatland.com.au/privacy-policy/,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C29,COH,Cochlear Ltd,asx,Health Care,Health Care Equipment & Services,cochlear.com,https://www.cochlear.com/global/en/corporate/privacy-notice,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C30,HUB,HUB24 Ltd,asx,Financials,Financial Services,hds.hub24.com.au,https://hds.hub24.com.au/patterns/ai-guidelines/,ai_policy,,,,,,,,,,,,,,,,,,,,,
C31,BEN,Bendigo and Adelaide Bank Ltd,asx,Financials,Banks,bendigobank.com.au,https://www.bendigobank.com.au/privacy-policy/full-privacy-policy/,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C32,SEK,Seek Ltd,asx,Communication Services,Media & Entertainment,seek.com.au,https://au.seek.com/privacy,privacy_policy,,,,,,,,,,,,,,,,,,,,,
C32,SEK,Seek Ltd,asx,Communication Services,Media & Entertainment,seek.com.au,https://au.seek.com/about/responsible-ai,ai_policy,,,,,,,,,,,,,,,,,,,,,
C33,AMP,AMP Ltd,asx,Financials,Financial Services,amp.com.au,https://www.amp.com.au/content/dam/amp-2024/documents/reports/amp-ai-transparency-statement.pdf,ai_policy,,,,,,,,,,,,,,,,,,,,,
